event_id,event_type_id,event_name,time,country,currency,impact,actual,forecast,previous,urls,title
406929,1665,FOMC Member Kashkari Speaks,14-05-20 17:00,United States,USD,Moderate Volatility Expected,,,,fomc-member-kashkari-speaks-1665,FOMC Member Kashkari Speaks
405838,436,CPI,14-05-20 19:00,Argentina,ARS,Moderate Volatility Expected,,,3.60%,cpi-436,Consumer Price Index (CPI) 
406930,1662,FOMC Member Kaplan Speaks,14-05-20 22:00,United States,USD,Moderate Volatility Expected,,,,fomc-member-kaplan-speaks-1662,FOMC Member Kaplan Speaks
404295,338,Business NZ PMI,14-05-20 22:30,New Zealand,NZD,Moderate Volatility Expected,,,53.2,business-nz-pmi-338,Business NZ Purchasing Managers Index (PMI)
405852,460,Fixed Asset Investment,15-05-20 02:00,China,CNY,Moderate Volatility Expected,,-10.00%,-16.10%,fixed-asset-investment-460,Fixed Asset Investment 
405847,1916,Chinese Industrial Production YTD ,15-05-20 02:00,China,CNY,Moderate Volatility Expected,,,-8.40%,chinese-industrial-production-ytd--1916,Industrial Production Year to Date (YTD) 
406718,1793,Chinese Unemployment Rate,15-05-20 02:00,China,CNY,Moderate Volatility Expected,,,5.90%,chinese-unemployment-rate-1793,Chinese Unemployment Rate
406804,1752,NBS Press Conference,15-05-20 02:00,China,CNY,Moderate Volatility Expected,,,,nbs-press-conference-1752,Press Conference
405876,112,French CPI,15-05-20 06:45,France,EUR,Moderate Volatility Expected,,,-0.10%,french-cpi-112,Consumer Price Index (CPI) 
405875,940,French HICP,15-05-20 06:45,France,EUR,Moderate Volatility Expected,,0.10%,0.10%,french-hicp-940,Harmonised Index of Consumer Prices (HICP) 
405957,1394,Trade Balance YTD,15-05-20 07:20,Ukraine,UAH,Moderate Volatility Expected,,,-0.4B,trade-balance-ytd-1394,Trade Balance YTD (USD)
405881,879,GDP,15-05-20 08:00,Poland,PLN,Moderate Volatility Expected,,-1.20%,0.30%,gdp-879,Gross Domestic Product (GDP) 
405884,869,Budget balance,15-05-20 08:00,Turkey,TRY,Moderate Volatility Expected,,,-43.70B,budget-balance-869,Budget Balance
405893,925,GDP,15-05-20 09:00,Euro Zone,EUR,Moderate Volatility Expected,,-3.30%,-3.30%,gdp-925,Eurozone Gross Domestic Product (GDP) 
405891,120,GDP,15-05-20 09:00,Euro Zone,EUR,Moderate Volatility Expected,,-3.80%,-3.80%,gdp-120,Eurozone Gross Domestic Product (GDP) 
405898,287,Trade Balance,15-05-20 09:00,Euro Zone,EUR,Moderate Volatility Expected,,,23.0B,trade-balance-287,Eurozone Trade Balance
405922,589,CPI,15-05-20 11:00,Israel,ILS,Moderate Volatility Expected,,,0.40%,cpi-589,Consumer Price Index (CPI) 
405935,323,NY Empire State Manufacturing Index,15-05-20 12:30,United States,USD,Moderate Volatility Expected,,-63.5,-78.2,ny-empire-state-manufacturing-index-323,NY Empire State Manufacturing Index
406243,109,Foreign Securities Purchases,15-05-20 12:30,Canada,CAD,Moderate Volatility Expected,,,20.61B,foreign-securities-purchases-109,Foreign Securities Purchases
405949,1755,Industrial Production,15-05-20 13:15,United States,USD,Moderate Volatility Expected,,,-5.49%,industrial-production-1755,Industrial Production 
405952,161,Industrial Production,15-05-20 13:15,United States,USD,Moderate Volatility Expected,,-11.50%,-5.40%,industrial-production-161,Industrial Production 
405972,29,Business Inventories,15-05-20 14:00,United States,USD,Moderate Volatility Expected,,-0.20%,-0.40%,business-inventories-29,Business Inventories 
405865,504,Trade Balance,15-05-20 14:19,Indonesia,IDR,Moderate Volatility Expected,,-0.20B,0.74B,trade-balance-504,Trade Balance
406838,1652,U.S. Baker Hughes Oil Rig Count,15-05-20 17:00,United States,USD,Moderate Volatility Expected,,,292,u.s.-baker-hughes-oil-rig-count-1652,Baker Hughes Oil Rig Count
406839,1810,U.S. Baker Hughes Total Rig Count,15-05-20 17:00,United States,USD,Moderate Volatility Expected,,,374,u.s.-baker-hughes-total-rig-count-1810,Baker Hughes Total Rig Count
406027,283,TIC Net Long-Term Transactions,15-05-20 20:00,United States,USD,Moderate Volatility Expected,,,49.4B,tic-net-long-term-transactions-283,TIC Net Long-Term Transactions
406048,1053,GDP,17-05-20 23:50,Japan,JPY,Moderate Volatility Expected,,-4.60%,-7.10%,gdp-1053,Gross Domestic Product (GDP) 
406052,476,GDP,18-05-20 02:30,Thailand,THB,Moderate Volatility Expected,,2.10%,1.60%,gdp-476,Gross Domestic Product (GDP) 
406067,243,PPI Input,18-05-20 22:45,New Zealand,NZD,Moderate Volatility Expected,,,0.10%,ppi-input-243,Producer Price Index (PPI) Input 
406742,146,Home Loans,19-05-20 01:30,Australia,AUD,Moderate Volatility Expected,,,-2.00%,home-loans-146,Home Loans 
406080,1743,Employment Change 3M/3M,19-05-20 06:00,United Kingdom,GBP,Moderate Volatility Expected,,100K,172K,employment-change-3m-3m-1743,Employment Change 3M/3M
406081,297,Unemployment Rate,19-05-20 06:00,United Kingdom,GBP,Moderate Volatility Expected,,3.90%,4.00%,unemployment-rate-297,Unemployment Rate
406091,1036,German ZEW Current Conditions,19-05-20 09:00,Germany,EUR,Moderate Volatility Expected,,-77.5,-91.5,german-zew-current-conditions-1036,ZEW Current Conditions
406090,310,ZEW Economic Sentiment,19-05-20 09:00,Euro Zone,EUR,Moderate Volatility Expected,,,25.2,zew-economic-sentiment-310,Eurozone ZEW Economic Sentiment
406100,885,Building Permits,19-05-20 12:30,United States,USD,Moderate Volatility Expected,,,-7.00%,building-permits-885,Building Permits 
406098,898,Housing Starts,19-05-20 12:30,United States,USD,Moderate Volatility Expected,,,-22.30%,housing-starts-898,Housing Starts 
406099,151,Housing Starts,19-05-20 12:30,United States,USD,Moderate Volatility Expected,,0.986M,1.216M,housing-starts-151,Housing Starts
406102,970,GDP Quarterly,19-05-20 13:00,Russia,RUB,Moderate Volatility Expected,,1.90%,1.50%,gdp-quarterly-970,Gross Domestic Product (GDP) Quarterly 
406110,1101,CPI,20-05-20 04:00,Malaysia,MYR,Moderate Volatility Expected,,-0.10%,-0.20%,cpi-1101,Consumer Price Index (CPI) 
406126,727,CPI,20-05-20 06:00,United Kingdom,GBP,Moderate Volatility Expected,,,0.40%,cpi-727,Consumer Price Index (CPI) 
406120,242,PPI Input,20-05-20 06:00,United Kingdom,GBP,Moderate Volatility Expected,,-3.90%,-3.60%,ppi-input-242,Producer Price Index (PPI) Input 
406130,137,German PPI,20-05-20 06:00,Germany,EUR,Moderate Volatility Expected,,-0.70%,-0.80%,german-ppi-137,Producer Price Index (PPI) 
406512,478,Interest Rate Decision,20-05-20 07:05,Thailand,THB,Moderate Volatility Expected,,,0.75%,interest-rate-decision-478,Interest Rate Decision
406153,317,Core CPI,20-05-20 09:00,Euro Zone,EUR,Moderate Volatility Expected,,1.00%,0.90%,core-cpi-317,Eurozone Core Consumer Price Index (CPI) 
406150,928,CPI,20-05-20 09:00,Euro Zone,EUR,Moderate Volatility Expected,,0.50%,0.50%,cpi-928,Eurozone Consumer Price Index (CPI) 
406165,1020,Core CPI,20-05-20 12:30,Canada,CAD,Moderate Volatility Expected,,,1.60%,core-cpi-1020,Core Consumer Price Index (CPI) 
406164,70,CPI,20-05-20 12:30,Canada,CAD,Moderate Volatility Expected,,-0.40%,-0.60%,cpi-70,Consumer Price Index (CPI) 
406167,306,Wholesale Sales,20-05-20 12:30,Canada,CAD,Moderate Volatility Expected,,-0.40%,0.70%,wholesale-sales-306,Wholesale Sales 
406189,437,Economic Activity,20-05-20 19:00,Argentina,ARS,Moderate Volatility Expected,,-3.40%,-2.20%,economic-activity-437,Economic Activity 
406179,995,Exports,20-05-20 23:50,Japan,JPY,Moderate Volatility Expected,,-10.10%,-11.70%,exports-995,Exports 
406178,1005,Trade Balance,20-05-20 23:50,Japan,JPY,Moderate Volatility Expected,,420.0B,5.4B,trade-balance-1005,Trade Balance
406198,34,CBI Industrial Trends Orders,21-05-20 10:00,United Kingdom,GBP,Moderate Volatility Expected,,,-56,cbi-industrial-trends-orders-34,CBI Industrial Trends Orders
406200,1067,Overnight Lending Rate,21-05-20 11:00,Turkey,TRY,Moderate Volatility Expected,,,10.25%,overnight-lending-rate-1067,Overnight Lending Rate
406210,908,Philly Fed Employment,21-05-20 12:30,United States,USD,Moderate Volatility Expected,,,-46.7,philly-fed-employment-908,Philadelphia Fed Employment
