event_id,event_type_id,event_name,time,country,currency,impact,actual,forecast,previous,urls,title
405517,300.0,Unemployment Rate,2020-05-08 12:30:00,United States,USD,High Volatility Expected,14.7%,16.0%,4.4%,unemployment-rate-300,U.S. Unemployment Rate
405507,95.0,Employment Change,2020-05-08 12:30:00,Canada,CAD,High Volatility Expected,"-1,993.8K","-4,000.0K","-1,010.7K",employment-change-95,Canada Employment Change
406751,1785.0,BCB Copom Meeting Minutes,2020-05-12 11:00:00,Brazil,BRL,High Volatility Expected,,,,bcb-copom-meeting-minutes-1785,BCB Copom Meeting Minutes
405666,56.0,Core CPI,2020-05-12 12:30:00,United States,USD,High Volatility Expected,-0.4%,-0.2%,-0.1%,core-cpi-56,U.S. Core Consumer Price Index (CPI) MoM
403681,167.0,RBNZ Interest Rate Decision,2020-05-13 02:00:00,New Zealand,NZD,High Volatility Expected,0.25%,0.25%,0.25%,rbnz-interest-rate-decision-167,New Zealand Interest Rate Decision
406681,399.0,RBNZ Rate Statement,2020-05-13 02:00:00,New Zealand,NZD,High Volatility Expected,,,,rbnz-rate-statement-399,Reserve Bank of New Zealand Rate Statement
406683,1761.0,RBNZ Press Conference,2020-05-13 03:00:00,New Zealand,NZD,High Volatility Expected,,,,rbnz-press-conference-1761,Reserve Bank of New Zealand Press Conference
406684,1792.0,GDP,2020-05-13 06:00:00,United Kingdom,GBP,High Volatility Expected,-5.8%,,-0.1%,gdp-1792,U.K. Gross Domestic Product (GDP) MoM
405687,728.0,GDP,2020-05-13 06:00:00,United Kingdom,GBP,High Volatility Expected,-1.6%,-2.1%,1.1%,gdp-728,U.K. Gross Domestic Product (GDP) YoY
405699,121.0,GDP,2020-05-13 06:00:00,United Kingdom,GBP,High Volatility Expected,-2.0%,-2.5%,0.0%,gdp-121,U.K. Gross Domestic Product (GDP) QoQ
405689,205.0,Manufacturing Production,2020-05-13 06:00:00,United Kingdom,GBP,High Volatility Expected,-4.6%,-6.0%,0.3%,manufacturing-production-205,U.K. Manufacturing Production MoM
406758,1800.0,Monthly GDP 3M/3M Change,2020-05-13 06:00:00,United Kingdom,GBP,High Volatility Expected,-2.0%,,0.0%,monthly-gdp-3m/3m-change-1800,
405726,238.0,PPI,2020-05-13 12:30:00,United States,USD,High Volatility Expected,-1.3%,-0.5%,-0.2%,ppi-238,U.S. Producer Price Index (PPI) MoM
407021,1738.0,Fed Chair Powell Speaks,2020-05-13 13:00:00,United States,USD,High Volatility Expected,,,,fed-chair-powell-speaks-1738,U.S. Fed Chair Powell Speaks
406638,75.0,Crude Oil Inventories,2020-05-13 14:30:00,United States,USD,High Volatility Expected,,4.147M,4.590M,crude-oil-inventories-75,U.S. Crude Oil Inventories
407028,1776.0,RBNZ Gov Orr Speaks,2020-05-13 20:10:00,New Zealand,NZD,High Volatility Expected,,,,rbnz-gov-orr-speaks-1776,Reserve Bank of New Zealand Governor Orr Speaks
405740,94.0,Employment Change,2020-05-14 01:30:00,Australia,AUD,High Volatility Expected,,-575.0K,5.9K,employment-change-94,Australia Employment Change
406710,1861.0,Annual Budget Release,2020-05-14 02:00:00,New Zealand,NZD,High Volatility Expected,,,,annual-budget-release-1861,New Zealand Annual Budget Release
406799,294.0,Initial Jobless Claims,2020-05-14 12:30:00,United States,USD,High Volatility Expected,,"2,500K","3,169K",initial-jobless-claims-294,U.S. Initial Jobless Claims
406717,1033.0,BoC Gov Poloz Speaks,2020-05-14 15:15:00,Canada,CAD,High Volatility Expected,,,,boc-gov-poloz-speaks-1033,Bank of Canada Governor Poloz Speaks
405853,462.0,Industrial Production,2020-05-15 02:00:00,China,CNY,High Volatility Expected,,1.5%,-1.1%,industrial-production-462,China Industrial Production YoY
